species,nsites,nsites_higher4points
Aglais urticae,19,16
Anthocharis cardamines,6,1
Anthocharis euphenoides,9,5
Aporia crataegi,10,5
Arethusana arethusa,2,NA
Argynnis pandora,14,5
Aricia cramera,13,8
Aricia montensis,12,3
Aricia morronensis,1,NA
Brintesia circe,11,6
Cacyreus marshalli,1,1
Callophrys rubi,7,2
Carcharodus baeticus,6,NA
Celastrina argiolus,5,1
Chazara briseis,7,2
Coenonympha dorus,6,3
Coenonympha pamphilus,8,3
Colias alfacariensis,3,1
Colias crocea,20,17
Colotis evagore,1,NA
Cupido lorquinii,5,3
Cyaniris semiargus,3,NA
Erebia hispania,7,2
Euchloe crameri,5,1
Euphydryas aurinia,8,5
Fabriciana adippe,2,1
Fabriciana niobe,9,6
Favonius quercus,4,2
Gegenes nostrodamus,1,NA
Glaucopsyche melanops,2,NA
Gonepteryx cleopatra,10,4
Gonepteryx rhamni,10,2
Hesperia comma,12,5
Hipparchia fidia,8,3
Hipparchia hermione,13,5
Hipparchia semele,13,2
Hipparchia statilinus,9,7
Hyponephele lycaon,13,10
Iphiclides feisthamelii,13,9
Issoria lathonia,16,12
Laeosopis roboris,1,NA
Lampides boeticus,10,2
Lasiommata maera,5,1
Lasiommata megera,16,15
Leptidea sinapis,1,1
Leptotes pirithous,6,3
Lycaena alciphron,12,8
Lycaena phlaeas,16,12
Lysandra albicans,2,NA
Maniola jurtina,12,2
Melanargia ines,5,NA
Melanargia lachesis,13,9
Melanargia occitanica,3,2
Melitaea athalia,5,1
Melitaea deione,10,4
Melitaea didyma,5,1
Melitaea parthenoides,2,1
Melitaea phoebe,9,4
Melitaea trivia,7,2
Muschampia proto,3,NA
Nymphalis polychloros,7,1
Papilio machaon,6,3
Pararge aegeria,10,8
Parnassius apollo,8,5
Pieris brassicae,9,2
Pieris napi,8,3
Pieris rapae,18,17
Plebejus argus,11,6
Plebejus idas,10,4
Polygonia c-album,4,NA
Polyommatus amandus,3,2
Polyommatus escheri,4,3
Polyommatus golgus,2,1
Polyommatus icarus,17,14
Polyommatus nivescens,7,3
Polyommatus thersites,6,NA
Pontia daplidice,19,15
Pseudochazara mercurius,1,NA
Pseudophilotes panoptes,2,NA
Pyrgus,14,5
Pyronia bathseba,8,5
Pyronia cecilia,4,1
Pyronia tithonus,6,4
Satyrium esculi,4,2
Satyrium spini,5,1
Satyrus actaea,16,10
Speyeria aglaja,4,1
Spialia sertorius,6,NA
Thymelicus sylvestris,9,4
Tomares ballus,1,NA
Vanessa atalanta,11,NA
Vanessa cardui,19,13
Zerynthia rumina,4,2
Zizeeria knysna,2,NA
